german,english,german_sentence,english_sentence
der Hund,the dog,Der Hund schläft im Garten.,The dog is sleeping in the garden.
die Katze,the cat,Die Katze sitzt auf dem Sofa.,The cat is sitting on the sofa.
das Mädchen,the girl,Das Mädchen liest ein Buch.,The girl is reading a book.
laufen,to run,Ich laufe jeden Morgen im Park.,I run in the park every morning.
sprechen,to speak,Sprichst du Deutsch?,Do you speak German?
schön,beautiful,Der Sonnenuntergang ist heute schön.,The sunset is beautiful today.
"einkaufen","to shop","Ich kaufe Brot, Käse und Milch ein.","I am buying bread, cheese and milk."
die Übung,the exercise,Übung macht den Meister.,Practice makes perfect.
müde,tired,Ich bin heute sehr müde.,I am very tired today.
der Zug,the train,Der Zug fährt um acht Uhr ab.,The train departs at eight o'clock.
